s,t,r
Peptide,Modified_protein,82
Known_variant,Clinically_relevant_variant,169
Biological_sample,Subject,170
Biological_sample,Analytical_sample,172
Modified_protein,Publication,194
Experimental_factor,Phenotype,233
Modified_protein,Protein,994
Experimental_factor,Disease,2056
Functional_region,Publication,2435
Experiment,Experiment,2967
Modification,Modification,3569
Tissue,Tissue,4313
Clinically_relevant_variant,Disease,4555
Complex,Biological_process,4770
Cellular_component,Cellular_component,4845
Experimental_factor,Experimental_factor,10800
Protein,Complex,10968
Compound,Compound,11609
Molecular_function,Molecular_function,13574
Disease,Disease,14897
Protein,Amino_acid_sequence,20614
Protein,Modified_protein,21339
Modified_protein,Modification,21407
Phenotype,Phenotype,24316
Metabolite,Disease,25207
Drug,Protein,30052
Drug,Disease,46804
Biological_process,Biological_process,52886
Protein,Molecular_function,80319
Protein,Biological_process,158067
Gene,Protein,172019
Protein,Protein_structure,195640
Transcript,Protein,202275
Functional_region,Protein,204244
Analytical_sample,Modified_protein,224478
Gene,Transcript,258487
Transcript,Chromosome,295912
Protein,Pathway,354967
Analytical_sample,Protein,797651
Metabolite,Pathway,848842
Metabolite,Pathway,848842
Metabolite,Protein,861626
Protein,Protein,3244505
Peptide,Protein,3629058
Protein,Cellular_component,3660177
Protein,Tissue,6529475
Protein,Disease,7082494
Known_variant,Chromosome,10630108
Known_variant,Gene,10638935
Protein,Publication,11696880
Cellular_component,Publication,22895232
Disease,Publication,25506946
Known_variant,Protein,26818166
Tissue,Publication,51007551
